camoff_c,hardlib_c,hanchest_c,currier_c,schfhall_c,rienhall_c,camoff_a

Block: 111-----------------------
07:25:00,07:29:00,07:34:00,07:38:00,07:43:00,07:48:00,--
07:55:00,07:59:00,08:04:00,08:08:00,08:13:00,08:18:00,--
08:25:00,08:29:00,08:34:00,08:38:00,08:43:00,08:48:00,--
08:55:00,08:59:00,09:04:00,09:08:00,09:13:00,09:18:00,--
09:25:00,09:29:00,09:34:00,09:38:00,09:43:00,09:48:00,--
09:55:00,09:59:00,10:04:00,10:08:00,10:13:00,10:18:00,--
10:25:00,10:29:00,10:34:00,10:38:00,10:43:00,10:48:00,--
10:55:00,10:59:00,11:04:00,11:08:00,11:13:00,11:18:00,--
11:25:00,11:29:00,11:34:00,11:38:00,11:43:00,11:48:00,--
11:55:00,11:59:00,12:04:00,12:08:00,12:13:00,12:18:00,--
12:25:00,12:29:00,12:34:00,12:38:00,12:43:00,12:48:00,--
12:55:00,12:59:00,13:04:00,13:08:00,13:13:00,13:18:00,--
13:25:00,13:29:00,13:34:00,13:38:00,13:43:00,13:48:00,--
13:55:00,13:59:00,14:04:00,14:08:00,14:13:00,14:18:00,--
14:25:00,14:29:00,14:34:00,14:38:00,14:43:00,14:48:00,--
14:55:00,14:59:00,15:04:00,15:08:00,15:13:00,15:18:00,--
15:25:00,15:29:00,15:34:00,15:38:00,15:43:00,15:48:00,--
15:55:00,15:59:00,16:04:00,16:08:00,16:13:00,16:18:00,--
16:25:00,16:29:00,16:34:00,16:38:00,16:43:00,16:48:00,--
16:55:00,16:59:00,17:04:00,17:08:00,17:13:00,17:18:00,--
17:25:00,17:29:00,17:34:00,17:38:00,17:43:00,17:48:00,17:55:00

Block: 212-----------------------
06:40:00,06:44:00,06:49:00,06:53:00,06:58:00,07:03:00,--
07:10:00,07:14:00,07:19:00,07:23:00,07:28:00,07:33:00,--
07:40:00,07:44:00,07:49:00,07:53:00,07:58:00,08:03:00,--
08:10:00,08:14:00,08:19:00,08:23:00,08:28:00,08:33:00,--
08:40:00,08:44:00,08:49:00,08:53:00,08:58:00,09:03:00,--
09:10:00,09:14:00,09:19:00,09:23:00,09:28:00,09:33:00,--
09:40:00,09:44:00,09:49:00,09:53:00,09:58:00,10:03:00,--
10:10:00,10:14:00,10:19:00,10:23:00,10:28:00,10:33:00,--
10:40:00,10:44:00,10:49:00,10:53:00,10:58:00,11:03:00,--
11:10:00,11:14:00,11:19:00,11:23:00,11:28:00,11:33:00,--
11:40:00,11:44:00,11:49:00,11:53:00,11:58:00,12:03:00,--
12:10:00,12:14:00,12:19:00,12:23:00,12:28:00,12:33:00,--
12:40:00,12:44:00,12:49:00,12:53:00,12:58:00,13:03:00,--
13:10:00,13:14:00,13:19:00,13:23:00,13:28:00,13:33:00,--
13:40:00,13:44:00,13:49:00,13:53:00,13:58:00,14:03:00,--
14:10:00,14:14:00,14:19:00,14:23:00,14:28:00,14:33:00,--
14:40:00,14:44:00,14:49:00,14:53:00,14:58:00,15:03:00,--
15:10:00,15:14:00,15:19:00,15:23:00,15:28:00,15:33:00,--
15:40:00,15:44:00,15:49:00,15:53:00,15:58:00,16:03:00,--
16:10:00,16:14:00,16:19:00,16:23:00,16:28:00,16:33:00,--
16:40:00,16:44:00,16:49:00,16:53:00,16:58:00,17:03:00,--
17:10:00,17:14:00,17:19:00,17:23:00,17:28:00,17:33:00,--
17:40:00,17:44:00,17:49:00,17:53:00,17:58:00,18:03:00,--
18:10:00,18:14:00,18:19:00,18:23:00,18:28:00,18:33:00,--
18:40:00,18:44:00,18:49:00,18:53:00,18:58:00,19:03:00,--
19:10:00,19:14:00,19:19:00,19:23:00,19:28:00,19:33:00,--
19:40:00,19:44:00,19:49:00,19:53:00,19:58:00,20:03:00,--
20:10:00,20:14:00,20:19:00,20:23:00,20:28:00,20:33:00,--
20:40:00,20:44:00,20:49:00,20:53:00,20:58:00,21:03:00,--
21:10:00,21:14:00,21:19:00,21:23:00,21:28:00,21:33:00,--
21:40:00,21:44:00,21:49:00,21:53:00,21:58:00,22:03:00,--
22:10:00,22:14:00,22:19:00,22:23:00,22:28:00,22:33:00,--
22:40:00,22:44:00,22:49:00,22:53:00,22:58:00,23:03:00,--
23:10:00,23:14:00,23:19:00,23:23:00,23:28:00,23:33:00,--
23:40:00,23:44:00,23:49:00,23:53:00,23:58:00,00:03:00,00:10:00

Block: 292-----------------------
